animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
b'aardvark',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'false',b'false',b'true',b'mammal'
b'antelope',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'bass',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'bear',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'false',b'false',b'true',b'mammal'
b'boar',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'buffalo',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'calf',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'true',b'true',b'mammal'
b'carp',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'true',b'false',b'fish'
b'catfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'cavy',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'false',b'true',b'false',b'mammal'
b'cheetah',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'chicken',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'true',b'false',b'bird'
b'chub',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'clam',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',0.0,b'false',b'false',b'false',b'invertebrate'
b'crab',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',4.0,b'false',b'false',b'false',b'invertebrate'
b'crayfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',6.0,b'false',b'false',b'false',b'invertebrate'
b'crow',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'deer',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'dogfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'true',b'fish'
